Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,1027441,,4289666,,,0
H4,2016,2016,2016,6,1,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,10411,,36985,,,0
H4,2016,2016,2016,6,1,1,Import,324,Guinea,GIN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,376725,,286647,,,2
H4,2016,2016,2016,6,1,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,2281577,,6398486,,,0
H4,2016,2016,2016,6,1,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,2525,,14281,,,0
H4,2016,2016,2016,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,261698,,,,,,20043534,,,4
H4,2016,2016,2016,6,1,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,73918,,,,,,6030660,,,0
H4,2016,2016,2016,6,1,3,Re-Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,73918,,,,,,6030660,,,0
H4,2016,2016,2016,6,1,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,200917,,,,2804533,,28328987,,,0
H4,2016,2016,2016,6,1,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,319129,,,,4483080,,205309359,,,0
